task_id,activity_id,task_name,assigned_to,task_description,due_date,status,completion_note
T001,A001,场地布置,V001,活动现场布置与物资准备,2026-05-18,已完成,提前半小时完成布置
T002,A001,垃圾收集,V002,公园垃圾收集与分类,2026-05-18,已完成,收集各类垃圾约50公斤
T003,A001,宣传引导,V003,活动宣传与游客引导,2026-05-18,进行中,部分区域还未覆盖
T004,A001,物资管理,V004,活动物资登记与发放,2026-05-18,已完成,物资全部发放完毕
T005,A002,老人陪伴,V006,陪老人聊天、读报纸,2026-05-20,已完成,陪伴了8位老人
T006,A002,文艺表演,V007,为老人表演文艺节目,2026-05-20,已完成,表演获得老人好评
T007,A002,卫生清洁,V008,敬老院公共区域清洁,2026-05-20,未开始,人员临时调整
T008,A003,图书分类,V010,图书分类整理上架,2026-05-22,已完成,整理图书约300册
T009,A003,读者咨询,V011,读者咨询与引导,2026-05-22,已完成,接待读者约80人次
T010,A003,书库整理,V012,书库清洁与整理,2026-05-22,进行中,还剩一个书库未整理
T011,A004,路口劝导,V013,主要路口交通劝导,2026-05-25,已完成,劝导不文明行为30起
T012,A004,行人引导,V014,斑马线行人引导,2026-05-25,已完成,引导行人约500人次
T013,A004,宣传发放,V015,交通安全宣传资料发放,2026-05-25,已完成,发放资料200份
T014,A005,义诊接待,V017,义诊现场接待引导,2026-05-27,已完成,接待患者约100人
T015,A005,血压测量,V018,为居民测量血压,2026-05-27,已完成,测量血压约80人
T016,A005,健康咨询,V019,健康知识咨询解答,2026-05-27,进行中,咨询人数较多
T017,A006,垃圾清运,V021,公园垃圾收集清运,2026-06-01,已完成,清运垃圾约60公斤
T018,A006,环保宣传,V022,环保知识宣传讲解,2026-06-01,已完成,宣讲5场覆盖200人
T019,A006,植树养护,V023,公园树木浇水养护,2026-06-01,已完成,养护树木约50棵
T020,A006,游客服务,V024,游客咨询与帮助,2026-06-01,进行中,下午游客较多
T021,A007,语文辅导,V026,留守儿童语文辅导,2026-06-03,已完成,辅导学生20名
T022,A007,数学辅导,V027,留守儿童数学辅导,2026-06-03,已完成,辅导学生18名
T023,A007,兴趣活动,V028,组织兴趣小组活动,2026-06-03,进行中,活动准备中
T024,A008,展厅讲解,V030,博物馆展厅讲解,2026-06-05,已完成,讲解6场接待150人
T025,A008,观众服务,V031,观众咨询与引导,2026-06-05,已完成,服务观众约200人
T026,A008,展品维护,V032,展品清洁与维护,2026-06-05,未开始,需专业培训
T027,A009,宣传展板,V033,无偿献血宣传展板布置,2026-06-08,已完成,布置展板8块
T028,A009,咨询解答,V034,无偿献血知识解答,2026-06-08,已完成,解答咨询约60人
T029,A009,登记引导,V035,献血登记引导服务,2026-06-08,进行中,下午献血人数较多
T030,A010,东区巡逻,V037,社区东区安全巡逻,2026-06-10,已完成,巡逻正常无异常
T031,A010,西区巡逻,V038,社区西区安全巡逻,2026-06-10,已完成,巡逻正常无异常
T032,A010,监控值守,V039,监控室值班值守,2026-06-10,未开始,设备调试中
T033,A011,节目表演,V040,端午节文艺节目表演,2026-06-12,已完成,节目获得老人喜爱
T034,A011,粽子制作,V041,和老人一起包粽子,2026-06-12,已完成,包粽子约200个
T035,A011,慰问探访,V042,慰问行动不便老人,2026-06-12,进行中,还有3位老人未探访
T036,A012,讲座准备,V044,讲座场地布置与准备,2026-06-15,已完成,场地布置完毕
T037,A012,听众引导,V045,听众入场引导,2026-06-15,已完成,引导听众约100人
T038,A012,资料发放,V046,环保资料发放,2026-06-15,进行中,讲座中场发放
