feedback_id,activity_id,volunteer_id,rating,comment,feedback_date
F001,A001,V001,4.5,活动组织得很好，就是天气太热了,2026-05-19
F002,A001,V002,4.0,整体不错，希望能提供更多饮水点,2026-05-19
F003,A001,V003,5.0,非常有意义的活动，收获很大,2026-05-19
F004,A001,V004,4.2,活动安排合理，工作人员很负责,2026-05-20
F005,A002,V006,5.0,和老人相处很开心，下次还会参加,2026-05-21
F006,A002,V007,4.8,活动很有意义，老人都很热情,2026-05-21
F007,A002,V008,4.0,希望能有更多的互动节目,2026-05-22
F008,A003,V010,4.3,图书整理工作很充实,2026-05-23
F009,A003,V011,4.6,图书馆的老师很专业，学到很多,2026-05-23
F010,A003,V012,4.1,工作有点累，但是很有成就感,2026-05-24
F011,A004,V013,3.8,天气太热了，站了一天很累,2026-05-26
F012,A004,V014,4.0,活动很有意义，就是时间太长,2026-05-26
F013,A004,V015,4.2,能为交通安全出一份力很开心,2026-05-27
F014,A005,V017,4.9,义诊活动很有意义，帮助了很多人,2026-05-28
F015,A005,V018,4.7,居民都很热情，工作很顺利,2026-05-28
F016,A005,V019,4.4,希望能有更多专业医生参与,2026-05-29
F017,A006,V021,4.6,公园清洁活动很有意义,2026-06-02
F018,A006,V022,4.8,宣传活动效果很好,2026-06-02
F019,A006,V023,4.5,树木养护工作很有成就感,2026-06-02
F020,A006,V024,4.3,游客很多，有点忙不过来,2026-06-03
F021,A007,V026,5.0,孩子们很可爱，支教很有意义,2026-06-04
F022,A007,V027,4.9,孩子们学习很认真,2026-06-04
F023,A007,V028,4.7,兴趣活动孩子们很喜欢,2026-06-05
F024,A008,V030,4.8,博物馆讲解工作很充实,2026-06-06
F025,A008,V031,4.6,观众都很热情,2026-06-06
F026,A008,V032,4.2,希望能有更多培训,2026-06-07
